,D*,ln(D),Db,Time,D,sigmai
5.308267697,203,5.308267697,1,10,202,0.070707212
5.192956851,183,5.192956851,3,20,180,0.075767676
5.068904202,167,5.068904202,8,30,159,0.083199727
5.164785974,175,5.164785974,0,40,175,0.075592895
5.030437921,156,5.030437921,3,50,153,0.082415165
5.068904202,161,5.068904202,2,60,159,0.080296512
4.94875989,143,4.94875989,2,70,141,0.08540138
4.86753445,132,4.86753445,2,80,130,0.089044899
5.023880521,155,5.023880521,3,90,152,0.082696086
4.96284463,143,4.96284463,0,100,143,0.083624201
4.852030264,133,4.852030264,5,110,128,0.091776095
4.753590191,118,4.753590191,2,120,116,0.094434924
4.700480366,110,4.700480366,0,130,110,0.095346259
4.624972813,103,4.624972813,1,140,102,0.099980775
4.615120517,106,4.615120517,5,150,101,0.104313403
4.574710979,101,4.574710979,4,160,97,0.105638668
4.663439094,109,4.663439094,3,170,106,0.099839672
4.394449155,85,4.394449155,4,180,81,0.116468903
4.406719247,88,4.406719247,6,190,82,0.118236094
4.521788577,96,4.521788577,4,200,92,0.108695652
4.343805422,81,4.343805422,4,210,77,0.119734344
4.369447852,81,4.369447852,2,220,79,0.115321944
4.234106505,72,4.234106505,3,230,69,0.125510928
4.110873864,63,4.110873864,2,240,61,0.13216816
3.761200116,45,3.761200116,2,250,43,0.159433828
4.248495242,71,4.248495242,1,260,70,0.121218305
4.043051268,62,4.043051268,5,270,57,0.14360268
3.931825633,60,3.931825633,9,280,51,0.162874978
4.317488114,80,4.317488114,5,290,75,0.122927259
3.850147602,50,3.850147602,3,300,47,0.154895955
4.007333185,56,4.007333185,1,310,55,0.137269717
4.007333185,57,4.007333185,2,320,55,0.139657195
4.007333185,58,4.007333185,3,330,55,0.14200454
3.784189634,47,3.784189634,3,340,44,0.160706087
3.63758616,45,3.63758616,7,350,38,0.189765857
3.583518938,39,3.583518938,3,360,36,0.180020575
3.80666249,46,3.80666249,1,370,45,0.15234788
3.401197382,33,3.401197382,3,380,30,0.2
3.258096538,31,3.258096538,5,390,26,0.230769231
2.995732274,28,2.995732274,8,400,20,0.3
3.465735903,32,3.465735903,0,410,32,0.176776695
3.36729583,34,3.36729583,5,420,29,0.215344759
3.63758616,39,3.63758616,1,430,38,0.166435666
3.433987204,34,3.433987204,3,440,31,0.196218146
3.433987204,36,3.433987204,5,450,31,0.206552395
3.135494216,25,3.135494216,2,460,23,0.225919671
3.044522438,22,3.044522438,1,470,21,0.22837293
2.708050201,18,2.708050201,3,480,15,0.305505046
3.295836866,30,3.295836866,3,490,27,0.21276158
3.044522438,24,3.044522438,3,500,21,0.24743583
3.135494216,28,3.135494216,5,510,23,0.249763593
2.772588722,24,2.772588722,8,520,16,0.353553391
2.890371758,22,2.890371758,4,530,18,0.283278862
2.833213344,21,2.833213344,4,540,17,0.294117647
2.995732274,25,2.995732274,5,550,20,0.273861279
3.044522438,24,3.044522438,3,560,21,0.24743583
2.48490665,15,2.48490665,3,570,12,0.353553391
2.772588722,21,2.772588722,5,580,16,0.31868872
2.708050201,17,2.708050201,2,590,15,0.290593263
2.772588722,19,2.772588722,3,600,16,0.293150985
