"Latest: Time (s)","Latest: Radiation (Counts)"
0.5,32
1,29
1.5,28
2,33
2.5,40
3,30
3.5,45
4,34
4.5,29
5,33
5.5,26
6,31
6.5,24
7,25
7.5,32
8,36
8.5,30
9,29
9.5,27
10,35
10.5,38
11,30
11.5,29
12,30
12.5,31
13,35
13.5,35
14,34
14.5,30
15,37
15.5,29
16,36
16.5,29
17,33
17.5,31
18,35
18.5,38
19,33
19.5,32
20,26
20.5,42
21,32
21.5,25
22,35
22.5,44
23,37
23.5,39
24,28
24.5,30
25,33
25.5,38
26,30
26.5,33
27,21
27.5,33
28,39
28.5,30
29,35
29.5,32
30,33
30.5,33
31,36
31.5,31
32,32
32.5,35
33,31
33.5,27
34,36
34.5,24
35,42
35.5,29
36,33
36.5,27
37,33
37.5,31
38,29
38.5,33
39,37
39.5,35
40,30
40.5,31
41,32
41.5,30
42,33
42.5,37
43,35
43.5,34
44,39
44.5,46
45,29
45.5,32
46,35
46.5,32
47,33
47.5,34
48,33
48.5,43
49,20
49.5,30
50,33
50.5,40
51,28
51.5,28
52,37
52.5,35
53,39
53.5,31
54,34
54.5,34
55,29
55.5,32
56,28
56.5,27
57,30
57.5,24
58,32
58.5,35
59,38
59.5,31
60,27
60.5,34
61,36
61.5,32
62,27
62.5,32
63,32
63.5,34
64,36
64.5,24
65,32
65.5,33
66,29
66.5,38
67,38
67.5,37
68,26
68.5,37
69,25
69.5,36
70,29
70.5,45
71,35
71.5,37
72,38
72.5,36
73,33
73.5,36
74,45
74.5,45
75,34
75.5,40
76,27
76.5,34
77,30
77.5,27
78,33
78.5,29
79,43
79.5,27
80,29
80.5,29
81,29
81.5,37
82,33
82.5,30
83,33
83.5,29
84,35
84.5,28
85,34
85.5,26
86,27
86.5,32
87,31
87.5,37
88,39
88.5,34
89,31
89.5,37
90,35
90.5,36
91,28
91.5,34
92,26
92.5,37
93,25
93.5,36
94,36
94.5,38
95,31
95.5,32
96,30
96.5,24
97,28
97.5,31
98,33
98.5,34
99,35
99.5,35
100,33
100.5,33
101,42
101.5,32
102,35
102.5,35
103,29
103.5,32
104,39
104.5,38
105,22
105.5,41
106,27
106.5,32
107,30
107.5,27
108,35
108.5,29
109,22
109.5,28
110,37
110.5,34
111,28
111.5,31
112,28
112.5,37
113,35
113.5,37
114,28
114.5,32
115,27
115.5,25
116,34
116.5,35
117,34
117.5,26
118,33
118.5,31
119,38
119.5,32
120,34
120.5,28
121,29
121.5,33
122,25
122.5,31
123,34
123.5,39
124,33
124.5,35
125,28
125.5,32
126,31
126.5,30
127,36
127.5,26
128,23
128.5,22
129,31
129.5,27
130,35
130.5,33
131,33
131.5,38
132,37
132.5,27
133,35
133.5,34
134,30
134.5,27
135,28
135.5,23
136,34
136.5,37
137,23
137.5,44
138,32
138.5,35
139,31
139.5,33
140,31
140.5,34
141,26
141.5,30
142,34
142.5,29
143,20
143.5,25
144,29
144.5,28
145,39
145.5,28
146,31
146.5,28
147,31
147.5,31
148,26
148.5,33
149,33
149.5,35
150,29
150.5,33
151,27
151.5,31
152,34
152.5,28
153,27
153.5,29
154,30
154.5,32
155,29
155.5,35
156,37
156.5,37
157,30
157.5,26
158,27
158.5,36
159,44
159.5,29
160,19
160.5,30
161,41
161.5,32
162,27
162.5,29
163,37
163.5,27
164,26
164.5,32
165,32
165.5,40
166,36
166.5,37
167,26
167.5,38
168,38
168.5,35
169,24
169.5,30
170,31
170.5,35
171,38
171.5,37
172,32
172.5,37
173,37
173.5,24
174,32
174.5,30
175,31
175.5,31
176,27
176.5,29
177,24
177.5,29
178,29
178.5,26
179,39
179.5,36
180,34
180.5,37
181,39
181.5,36
182,37
182.5,27
183,34
183.5,35
184,31
184.5,39
185,40
185.5,32
186,23
186.5,28
187,32
187.5,31
188,37
188.5,42
189,35
189.5,34
190,35
190.5,30
191,41
191.5,28
192,37
192.5,42
193,37
193.5,32
194,28
194.5,36
195,33
195.5,17
196,33
196.5,38
197,33
197.5,39
198,34
198.5,35
199,36
199.5,36
200,29
200.5,36
201,36
201.5,32
202,26
202.5,39
203,27
203.5,31
204,35
204.5,32
205,37
205.5,36
206,29
206.5,37
207,34
207.5,38
208,23
208.5,38
209,39
209.5,32
210,31
210.5,36
211,26
211.5,32
212,32
212.5,27
213,25
213.5,31
214,33
214.5,33
215,32
215.5,25
216,39
216.5,36
217,35
217.5,30
218,32
218.5,38
219,33
219.5,31
220,31
220.5,34
221,29
221.5,37
222,33
222.5,30
223,30
223.5,29
224,29
224.5,40
225,41
225.5,27
226,30
226.5,35
227,26
227.5,34
228,30
228.5,36
229,36
229.5,33
230,34
230.5,28
231,29
231.5,30
232,36
232.5,34
233,31
233.5,29
234,27
234.5,26
235,31
235.5,27
236,34
236.5,35
237,40
237.5,26
238,34
238.5,31
239,25
239.5,34
240,35
240.5,30
241,35
241.5,32
242,30
242.5,29
243,32
243.5,24
244,30
244.5,38
245,31
245.5,34
246,37
246.5,35
247,32
247.5,34
248,29
248.5,31
249,39
249.5,33
250,35
250.5,36
251,33
251.5,35
252,27
252.5,32
253,26
253.5,31
254,27
254.5,32
255,30
255.5,29
256,28
256.5,35
257,28
257.5,31
258,34
258.5,33
259,32
259.5,24
260,33
260.5,30
261,35
261.5,34
262,36
262.5,29
263,37
263.5,25
264,31
264.5,30
265,40
265.5,28
266,30
266.5,30
267,36
267.5,33
268,32
268.5,36
269,42
269.5,22
270,27
270.5,36
271,28
271.5,29
272,32
272.5,34
273,24
273.5,33
274,36
274.5,31
275,29
275.5,31
276,31
276.5,31
277,35
277.5,35
278,34
278.5,39
279,27
279.5,36
280,27
280.5,43
281,34
281.5,35
282,35
282.5,35
283,38
283.5,33
284,38
284.5,33
285,34
285.5,28
286,31
286.5,41
287,36
287.5,33
288,34
288.5,25
289,32
289.5,31
290,35
290.5,37
291,24
291.5,42
292,36
292.5,28
293,29
293.5,33
294,35
294.5,25
295,31
295.5,35
296,25
296.5,36
297,31
297.5,43
298,32
298.5,25
299,30
299.5,27
300,29
300.5,33
301,34
301.5,34
302,29
302.5,39
303,36
303.5,34
304,36
304.5,36
305,38
305.5,27
306,30
306.5,30
307,32
307.5,32
308,29
308.5,27
309,32
309.5,30
310,32
310.5,33
311,30
311.5,33
312,27
312.5,26
313,41
313.5,33
314,35
314.5,37
315,36
315.5,29
316,29
316.5,27
317,33
317.5,30
318,32
318.5,24
319,28
319.5,36
320,36
320.5,30
321,31
321.5,35
322,35
322.5,27
323,34
323.5,25
324,29
324.5,38
325,33
325.5,39
326,39
326.5,24
327,32
327.5,32
328,32
328.5,25
329,31
329.5,32
330,35
330.5,27
331,32
331.5,33
332,28
332.5,29
333,31
333.5,37
334,32
334.5,33
335,27
335.5,41
336,28
336.5,38
337,29
337.5,42
338,32
338.5,27
339,32
339.5,33
340,27
340.5,33
341,33
341.5,39
342,25
342.5,38
343,33
343.5,30
344,36
344.5,32
345,38
345.5,38
346,48
346.5,23
347,33
347.5,25
348,39
348.5,28
349,31
349.5,34
350,34
350.5,34
351,32
351.5,30
352,32
352.5,29
353,33
353.5,32
354,27
354.5,32
355,31
355.5,25
356,35
356.5,36
357,38
357.5,37
358,34
358.5,32
359,30
359.5,31
360,37
360.5,31
361,35
361.5,29
362,32
362.5,34
363,34
363.5,31
364,25
364.5,31
365,29
365.5,34
366,35
366.5,27
367,36
367.5,38
368,36
368.5,32
369,36
369.5,30
370,32
370.5,31
371,35
371.5,25
372,34
372.5,28
373,29
373.5,32
374,38
374.5,37
375,29
375.5,28
376,35
376.5,37
377,27
377.5,32
378,32
378.5,31
379,35
379.5,29
380,35
380.5,31
381,33
381.5,34
382,33
382.5,30
383,30
383.5,33
384,27
384.5,34
385,33
385.5,33
386,24
386.5,30
387,32
387.5,33
388,31
388.5,20
389,26
389.5,43
390,35
390.5,38
391,29
391.5,27
392,25
392.5,29
393,28
393.5,34
394,42
394.5,42
395,38
395.5,31
396,47
396.5,29
397,35
397.5,30
398,33
398.5,33
399,32
399.5,30
400,31
400.5,32
401,30
401.5,36
402,33
402.5,39
403,39
403.5,30
404,34
404.5,30
405,30
405.5,32
406,38
406.5,30
407,27
407.5,32
408,28
408.5,22
409,35
409.5,34
410,26
410.5,33
411,32
411.5,38
412,35
412.5,30
413,23
413.5,39
414,30
414.5,23
415,36
415.5,28
416,30
416.5,33
417,24
417.5,32
418,41
418.5,35
419,27
419.5,31
420,32
420.5,30
421,36
421.5,33
422,39
422.5,31
423,27
423.5,34
424,36
424.5,31
425,31
425.5,35
426,32
426.5,26
427,32
427.5,28
428,30
428.5,32
429,33
429.5,30
430,24
430.5,23
431,34
431.5,33
432,31
432.5,34
433,34
433.5,29
434,38
434.5,38
435,34
435.5,32
436,35
436.5,32
437,38
437.5,34
438,32
438.5,29
439,30
439.5,33
440,42
440.5,33
441,35
441.5,30
442,28
442.5,28
443,32
443.5,27
444,30
444.5,33
445,28
445.5,30
446,32
446.5,37
447,31
447.5,37
448,25
448.5,33
449,28
449.5,26
450,33
450.5,31
451,34
451.5,25
452,29
452.5,32
453,25
453.5,31
454,37
454.5,37
455,38
455.5,23
456,26
456.5,32
457,37
457.5,26
458,24
458.5,36
459,38
459.5,29
460,25
460.5,40
461,34
461.5,27
462,40
462.5,33
463,31
463.5,31
464,32
464.5,30
465,37
465.5,37
466,32
466.5,30
467,29
467.5,29
468,32
468.5,34
469,38
469.5,43
470,38
470.5,36
471,26
471.5,37
472,32
472.5,37
473,38
473.5,31
474,37
474.5,31
475,31
475.5,26
476,36
476.5,28
477,30
477.5,28
478,38
478.5,32
479,37
479.5,20
480,34
480.5,33
481,35
481.5,38
482,34
482.5,35
483,39
483.5,30
484,34
484.5,35
485,30
485.5,30
486,31
486.5,29
487,37
487.5,32
488,28
488.5,34
489,36
489.5,33
490,28
490.5,30
491,31
491.5,33
492,36
492.5,37
493,32
493.5,40
494,31
494.5,32
495,29
495.5,34
496,35
496.5,38
497,36
497.5,35
498,37
498.5,31
499,37
499.5,29
500,37
500.5,39
501,30
501.5,35
502,27
502.5,34
503,27
503.5,37
504,29
504.5,38
505,32
505.5,24
506,32
506.5,34
507,32
507.5,27
508,38
508.5,34
509,36
509.5,31
510,31
510.5,35
511,33
511.5,25
512,33
512.5,37
513,35
513.5,34
514,33
514.5,33
515,34
515.5,33
516,37
516.5,24
517,36
517.5,33
518,32
518.5,34
519,37
519.5,38
520,25
520.5,29
521,26
521.5,29
522,24
522.5,31
523,33
523.5,32
524,35
524.5,34
525,33
525.5,34
526,33
526.5,30
527,27
527.5,31
528,30
528.5,30
529,29
529.5,31
530,37
530.5,34
531,23
531.5,30
532,31
532.5,31
533,33
533.5,28
534,33
534.5,34
535,37
535.5,35
536,27
536.5,27
537,30
537.5,33
538,27
538.5,35
539,33
539.5,37
540,30
540.5,37
541,30
541.5,36
542,28
542.5,32
543,29
543.5,34
544,30
544.5,36
545,36
545.5,35
546,39
546.5,31
547,33
547.5,37
548,28
548.5,35
549,25
549.5,36
550,32
550.5,35
551,29
551.5,32
552,32
552.5,31
553,33
553.5,35
554,31
554.5,38
555,34
555.5,23
556,25
556.5,30
557,36
557.5,39
558,32
558.5,30
559,45
559.5,44
560,40
560.5,26
561,45
561.5,37
562,37
562.5,36
563,30
563.5,36
564,25
564.5,34
565,33
565.5,27
566,29
566.5,30
567,30
567.5,28
568,36
568.5,37
569,35
569.5,33
570,26
570.5,31
571,28
571.5,38
572,33
572.5,33
573,25
573.5,27
574,31
574.5,22
575,35
575.5,29
576,33
576.5,33
577,34
577.5,26
578,32
578.5,36
579,33
579.5,31
580,38
580.5,35
581,26
581.5,24
582,39
582.5,34
583,35
583.5,25
584,35
584.5,31
585,32
585.5,37
586,31
586.5,31
587,127
587.5,30
588,23
588.5,33
589,32
589.5,32
590,34
590.5,32
591,35
591.5,35
592,39
592.5,36
593,39
593.5,32
594,43
594.5,39
595,41
595.5,37
596,31
596.5,31
597,29
597.5,34
598,36
598.5,37
599,32
599.5,41
600,35
